,mu,sig,mins,maxs
hydl,-0.8711911454942188,4.217533379254205,-76.82272792,63.473232089999996
ntol,-0.015121340071779435,0.9365217847955004,-31.778375151250003,29.485816135
ntal,-0.04045920544847203,2.53813610583022,-25.49236919875,23.17716693625
seasonal,0.012694519944489002,2.4578301906585693,-66.55166625976562,44.79001998901367
residuals,-0.04819449782371521,4.463583946228027,-536.8539428710938,577.5680541992188
tectonics,0.22710973024368286,27.856264114379883,-1488.558349609375,2374.9951171875
data,-0.0343409925699234,8.319930076599121,-5788.61572265625,1128.0506591796875
full,0.19276824593544006,29.099040985107422,-5938.15234375,2393.10546875
